true_values,predictions,errors
19490.0,19505.631327348132,-15.63132734813189
19490.5,19493.50510555354,-3.0051055535404885
19480.0,19494.906166251185,-14.906166251184914
19484.5,19484.538575148097,-0.03857514809715212
19451.5,19487.54901196155,-36.049011961549695
19485.0,19455.93782156475,29.062178435251553
19475.5,19488.974933181296,-13.474933181296365
19494.0,19478.228400745116,15.771599254883768
19490.0,19495.885206587987,-5.885206587987341
19509.5,19491.564793031368,17.935206968631974
19499.5,19509.561762630157,-10.061762630157318
19497.0,19499.6582370112,-2.658237011200981
19524.0,19501.72313196764,22.276868032360653
19484.0,19523.889099918673,-39.88909991867331
19502.0,19487.24591822787,14.75408177213103
19490.0,19506.082871246454,-16.08287124645358
19496.5,19493.455292892773,3.0447071072267136
19476.5,19500.068725968613,-23.568725968612853
19480.5,19482.2968916968,-1.7968916967984114
19492.5,19487.144955972442,5.355044027557597
19472.0,19494.74364280203,-22.74364280203008
19468.5,19476.711637478893,-8.211637478892953
19458.0,19475.51934886136,-17.519348861358594
19479.5,19466.10325776911,13.396742230888776
19515.5,19483.773486915485,31.726513084515318
19431.0,19509.229576118047,-78.22957611804668
19433.0,19431.979631304184,1.020368695815705
19456.5,19444.8686363656,11.63136363439844
19460.5,19464.047565487625,-3.5475654876245244
19435.5,19465.346656486392,-29.84665648639202
19428.0,19437.542037916486,-9.542037916486152
19453.5,19435.9908233356,17.5091766644
19480.5,19459.58757789782,20.912422102181154
19463.5,19481.444852301767,-17.94485230176724
19455.0,19465.1388336897,-10.138833689699823
19449.5,19459.59501525099,-10.0950152509904
19470.5,19455.495989857405,15.00401014259478
19426.5,19474.423528638825,-47.92352863882479
19379.0,19430.870908674842,-51.87090867484221
19398.0,19388.478348646488,9.521651353512425
19395.5,19409.46884153368,-13.968841533678642
19397.5,19403.587621643408,-6.087621643408056
19408.0,19400.070995973794,7.929004026205803
19435.5,19410.732008333423,24.767991666576563
19436.5,19431.63990390785,4.860096092150343
19420.0,19434.572585507995,-14.572585507994518
19410.5,19418.232948018787,-7.732948018787283
19457.0,19412.96651544683,44.03348455316882
19484.5,19455.41520020113,29.084799798871245
19488.0,19480.717014452148,7.2829855478521495
19493.0,19486.044582535236,6.955417464763741
19500.0,19492.016654664007,7.983345335993363
19490.0,19501.566238565683,-11.566238565683307
19472.0,19494.345846182143,-22.34584618214285
19467.0,19476.690286447036,-9.69028644703576
19471.0,19471.326590186567,-0.32659018656704575
19461.5,19477.233705066938,-15.733705066937546
19470.5,19466.084063275383,4.415936724617495
19450.0,19474.78765245274,-24.787652452738257
19424.5,19455.062044794427,-30.562044794427493
19441.5,19432.230761402494,9.269238597506046
19440.5,19449.798024925134,-9.298024925134087
19425.5,19448.156951416153,-22.65695141615288
19458.0,19433.101315896598,24.898684103402047
19465.5,19462.717075837463,2.7829241625368013
19443.0,19468.451870396526,-25.45187039652592
19462.0,19448.26423433872,13.735765661280311
19397.5,19467.66744641148,-70.16744641148034
